player_name,team_name,stat_type,line,timestamp,matched_name,bbref_id
Lexie Hull,IND,Points,14.5,2025-06-17T11:02:49.810030,Lexie Hull,hulllle01w
Lexie Hull,IND,Rebounds,3.5,2025-06-17T11:02:49.810039,Lexie Hull,hulllle01w
Marina Mabrey,CON,Free Throws Made,2.5,2025-06-17T11:02:49.810046,Marina Mabrey,mabrema01w
Marina Mabrey,CON,3-PT Made,3.5,2025-06-17T11:02:49.810047,Marina Mabrey,mabrema01w
Marina Mabrey,CON,FG Attempted,16.5,2025-06-17T11:02:49.810048,Marina Mabrey,mabrema01w
Marina Mabrey,CON,3-PT Attempted,8.0,2025-06-17T11:02:49.810050,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Rebounds,5.5,2025-06-17T11:02:49.810051,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Points,17.5,2025-06-17T11:02:49.810053,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Pts+Rebs+Asts,34.5,2025-06-17T11:02:49.810054,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Pts+Rebs+Asts,29.5,2025-06-17T11:02:49.810056,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Pts+Rebs+Asts,39.5,2025-06-17T11:02:49.810057,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Points,29.5,2025-06-17T11:02:49.810058,Marina Mabrey,mabrema01w
Marina Mabrey,CON,3-PT Made,4.5,2025-06-17T11:02:49.810059,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Assists,5.5,2025-06-17T11:02:49.810061,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Fantasy Score,30.5,2025-06-17T11:02:49.810063,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Pts+Rebs,22.5,2025-06-17T11:02:49.810063,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Points,14.5,2025-06-17T11:02:49.810065,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Points,24.5,2025-06-17T11:02:49.810066,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Rebs+Asts,8.0,2025-06-17T11:02:49.810067,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Rebounds,3.5,2025-06-17T11:02:49.810068,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Assists,4.5,2025-06-17T11:02:49.810069,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Rebounds,6.5,2025-06-17T11:02:49.810070,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Assists,2.5,2025-06-17T11:02:49.810071,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Rebounds,4.5,2025-06-17T11:02:49.810072,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Points,16.5,2025-06-17T11:02:49.810073,Marina Mabrey,mabrema01w
Marina Mabrey,CON,3-PT Made,5.5,2025-06-17T11:02:49.810075,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Assists,6.5,2025-06-17T11:02:49.810076,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Pts+Asts,21.5,2025-06-17T11:02:49.810078,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Pts+Rebs+Asts,24.5,2025-06-17T11:02:49.810079,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Assists,3.0,2025-06-17T11:02:49.810080,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Points,19.5,2025-06-17T11:02:49.810081,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Rebounds,7.5,2025-06-17T11:02:49.810082,Marina Mabrey,mabrema01w
Marina Mabrey,CON,3-PT Made,1.5,2025-06-17T11:02:49.810083,Marina Mabrey,mabrema01w
Marina Mabrey,CON,Pts+Rebs+Asts,26.0,2025-06-17T11:02:49.810084,Marina Mabrey,mabrema01w
Caitlin Clark,IND,Points,21.5,2025-06-17T11:02:49.810086,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Pts+Rebs+Asts,36.5,2025-06-17T11:02:49.810087,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Fantasy Score,43.5,2025-06-17T11:02:49.810088,Caitlin Clark,clarkca01w
Caitlin Clark,IND,FG Attempted,17.5,2025-06-17T11:02:49.810089,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Assists,7.5,2025-06-17T11:02:49.810091,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Points,19.5,2025-06-17T11:02:49.810091,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Rebounds,5.5,2025-06-17T11:02:49.810093,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Rebounds,9.5,2025-06-17T11:02:49.810094,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Pts+Rebs+Asts,39.5,2025-06-17T11:02:49.810095,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Rebounds,8.5,2025-06-17T11:02:49.810096,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Assists,9.5,2025-06-17T11:02:49.810097,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Points,20.5,2025-06-17T11:02:49.810098,Caitlin Clark,clarkca01w
Caitlin Clark,IND,3-PT Made,3.5,2025-06-17T11:02:49.810099,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Points,29.5,2025-06-17T11:02:49.810100,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Assists,11.5,2025-06-17T11:02:49.810101,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Pts+Rebs+Asts,44.5,2025-06-17T11:02:49.810103,Caitlin Clark,clarkca01w
Caitlin Clark,IND,3-PT Made,5.5,2025-06-17T11:02:49.810104,Caitlin Clark,clarkca01w
Caitlin Clark,IND,Pts+Rebs+Asts,49.5,2025-06-17T11:02:49.810105,Caitlin Clark,clarkca01w
