slip_id,type,legs,combined_odds,potential_multiplier,total_stake,phase,confidence,potential_payout,dry_run,date,game,player,prop_type,line,over_odds,under_odds,projection,pick,decimal_odds,flex_payouts
PAPER_PWR_20250619_001,Power,3,6.5027116905978435,6.5027116905978435,9.86,ovulatory,0.6460981070263225,64.12,True,2025-06-20,CHI @ SEA,C. Clark,assists,7.5,-121.95105592536386,-109.89188860492368,9.355906827786578,over,1.8200010999593288,
PAPER_PWR_20250619_001,Power,3,6.5027116905978435,6.5027116905978435,9.86,ovulatory,0.5363769625756368,64.12,True,2025-06-20,SEA @ MIN,A. Gray,assists,4.8,-119.60549288314317,-125.72843766729143,5.755518466720934,over,1.836082002502192,
PAPER_PWR_20250619_001,Power,3,6.5027116905978435,6.5027116905978435,9.86,ovulatory,0.6285433222369462,64.12,True,2025-06-20,LA @ NY,C. Clark,rebounds,8.1,-105.71428432964663,-123.37615078194791,9.557013196119696,over,1.9459459583358867,
PAPER_PWR_20250619_002,Power,3,6.512297928928244,6.512297928928244,9.92,ovulatory,0.5363769625756368,64.6,True,2025-06-20,SEA @ MIN,A. Gray,assists,4.8,-119.60549288314317,-125.72843766729143,5.755518466720934,over,1.836082002502192,
PAPER_PWR_20250619_002,Power,3,6.512297928928244,6.512297928928244,9.92,ovulatory,0.6103348342723701,64.6,True,2025-06-20,LA @ PHO,B. Jones,points,26.1,-115.36295708175031,-106.13474158314804,27.231379195823067,over,1.8668293751272034,
PAPER_PWR_20250619_002,Power,3,6.512297928928244,6.512297928928244,9.92,ovulatory,0.5471696226608689,64.6,True,2025-06-20,LA @ NY,J. Young,assists,4.1,-111.11977495954179,-113.79515857008255,4.296254118265383,over,1.8999298282993244,
PAPER_PWR_20250619_003,Power,3,5.963676442179067,5.963676442179067,5.85,ovulatory,0.5775764933183452,34.89,True,2025-06-20,LA @ PHO,B. Jones,assists,4.1,-123.6691198898668,-123.35456907306133,4.5501000503325155,over,1.808609296233811,
PAPER_PWR_20250619_003,Power,3,5.963676442179067,5.963676442179067,5.85,ovulatory,0.5860183249174191,34.89,True,2025-06-20,LAS @ SEA,B. Jones,points,27.7,-119.9243135040097,-114.50216960751474,29.385179874886333,over,1.833859265716426,
PAPER_PWR_20250619_003,Power,3,5.963676442179067,5.963676442179067,5.85,ovulatory,0.6025773761455285,34.89,True,2025-06-20,LA @ NY,C. Clark,assists,4.7,-110.46485182381197,-125.30442713239535,3.3955802066490843,under,1.7980563998296808,
PAPER_FLX_20250619_001,Flex,2,,,50.0,ovulatory,0.5148082337333243,115.0,True,2025-06-20,CHI @ SEA,B. Jones,rebounds,8.2,-126.02285911949431,-117.86918676842716,9.023979173678017,over,1.7935068343845497,{'2': 2.3}
PAPER_FLX_20250619_001,Flex,2,,,50.0,ovulatory,0.6458840187296727,115.0,True,2025-06-20,LAS @ SEA,B. Jones,assists,5.2,-108.31621900900828,-125.55512566364482,4.613806147407464,under,1.7964629040147226,{'2': 2.3}
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.48649402221166854,25.0,True,2025-06-20,LA @ NY,C. Clark,assists,6.1,-113.68372462883872,-117.76309152852492,6.059891937558737,under,1.8491624897243608,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.6342069630006604,25.0,True,2025-06-20,CHI @ SEA,C. Clark,rebounds,5.1,-112.83251574080283,-125.06657707911282,7.006370179032164,over,1.8862693465925948,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.6026424189142267,25.0,True,2025-06-20,SEA @ MIN,J. Young,points,14.3,-108.66657795915273,-121.65952040487916,15.900398937946832,over,1.920246149994615,"{'2': 1.2, '3': 5.0}"
