slip_id,type,legs,combined_odds,potential_multiplier,total_stake,phase,confidence,potential_payout,dry_run,date,game,player,prop_type,line,over_odds,under_odds,projection,pick,decimal_odds,flex_payouts
PAPER_PWR_20250619_001,Power,3,6.441543203974783,6.441543203974783,9.44,ovulatory,0.5796882916190739,60.81,True,2025-06-24,DAL @ MIN,A. Wilson,rebounds,10.4,-115.84638239351378,-122.1608004537659,11.220105403487626,over,1.8632121084309232,
PAPER_PWR_20250619_001,Power,3,6.441543203974783,6.441543203974783,9.44,ovulatory,0.5282448858399362,60.81,True,2025-06-24,LAS @ CHI,D. Taurasi,rebounds,11.3,-123.45871076628704,-108.78885367606723,10.498623660856156,under,1.9192118183151634,
PAPER_PWR_20250619_001,Power,3,6.441543203974783,6.441543203974783,9.44,ovulatory,0.5334916570168826,60.81,True,2025-06-24,DAL @ LA,S. Diggins,rebounds,7.2,-105.24559992760742,-124.78514664789863,5.59321974937253,under,1.8013774290153788,
PAPER_PWR_20250619_002,Power,2,3.661459219822747,3.661459219822747,18.6,ovulatory,0.6454677334705945,68.1,True,2025-06-24,DAL @ MIN,C. Clark,rebounds,7.6,-107.38344854915984,-124.17325218735809,8.533878781607292,over,1.9312422105183211,
PAPER_PWR_20250619_002,Power,2,3.661459219822747,3.661459219822747,18.6,ovulatory,0.5457947809691727,68.1,True,2025-06-24,DAL @ LA,D. Taurasi,assists,6.7,-115.23820506547635,-111.61849641593284,6.325414463622776,under,1.8959088610848338,
PAPER_PWR_20250619_003,Power,3,6.5894302218667935,6.5894302218667935,10.43,ovulatory,0.5796882916190739,68.73,True,2025-06-24,DAL @ MIN,A. Wilson,rebounds,10.4,-115.84638239351378,-122.1608004537659,11.220105403487626,over,1.8632121084309232,
PAPER_PWR_20250619_003,Power,3,6.5894302218667935,6.5894302218667935,10.43,ovulatory,0.591142536297078,68.73,True,2025-06-24,DAL @ LA,K. Mitchell,points,26.9,-116.14262246331197,-122.55999606016745,25.220307868939543,under,1.8159269191793035,
PAPER_PWR_20250619_003,Power,3,6.5894302218667935,6.5894302218667935,10.43,ovulatory,0.5807944582309423,68.73,True,2025-06-24,DAL @ MIN,K. Mitchell,assists,6.4,-105.53603585717917,-125.58303144374271,6.404193202911109,over,1.9475436441001912,
PAPER_FLX_20250619_001,Flex,3,,,5.0,ovulatory,0.5470105678962625,25.0,True,2025-06-24,DAL @ LA,K. Mitchell,rebounds,11.0,-128.0231366147163,-114.92163021449181,10.600660476363066,under,1.8701582096717404,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_001,Flex,3,,,5.0,ovulatory,0.5796882916190739,25.0,True,2025-06-24,DAL @ MIN,A. Wilson,rebounds,10.4,-115.84638239351378,-122.1608004537659,11.220105403487626,over,1.8632121084309232,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_001,Flex,3,,,5.0,ovulatory,0.4927507931147193,25.0,True,2025-06-24,DAL @ LA,S. Diggins,assists,4.3,-123.35546928594285,-126.64013733538745,2.5868201090788667,under,1.789639067866493,"{'2': 1.2, '3': 5.0}"
