slip_id,type,legs,combined_odds,potential_multiplier,total_stake,phase,confidence,potential_payout,dry_run,date,game,player,prop_type,line,over_odds,under_odds,projection,pick,decimal_odds,flex_payouts
PAPER_PWR_20250619_001,Power,3,6.440288519452623,6.440288519452623,9.43,ovulatory,0.5462673854251079,60.73,True,2025-06-23,ATL @ DAL,C. Clark,points,14.4,-125.05173407077619,-123.1532583267413,13.515021611496767,under,1.8119963804342656,
PAPER_PWR_20250619_001,Power,3,6.440288519452623,6.440288519452623,9.43,ovulatory,0.6491851704878197,60.73,True,2025-06-23,DAL @ LAS,S. Stewart,assists,4.8,-122.91869017731642,-110.38238667871839,4.2980175737022694,under,1.9059416362418615,
PAPER_PWR_20250619_001,Power,3,6.440288519452623,6.440288519452623,9.43,ovulatory,0.6008578989857517,60.73,True,2025-06-23,ATL @ DAL,S. Diggins,assists,4.3,-109.15356476513665,-115.6301474236357,2.6647810072291525,under,1.8648263643012464,
PAPER_PWR_20250619_002,Power,2,3.2593424428824456,3.2593424428824456,7.35,ovulatory,0.5736618810426077,23.96,True,2025-06-23,NY @ PHO,A. Wilson,rebounds,7.2,-119.84113988644566,-128.19254251258786,7.106202718706266,under,1.7800765788710409,
PAPER_PWR_20250619_002,Power,2,3.2593424428824456,3.2593424428824456,7.35,ovulatory,0.6208882311972344,23.96,True,2025-06-23,DAL @ LAS,B. Jones,rebounds,11.9,-120.3351352977153,-116.8467600090498,11.991729857285986,over,1.8310124865243629,
PAPER_PWR_20250619_003,Power,3,6.6121977608211395,6.6121977608211395,10.58,ovulatory,0.5736618810426077,69.96,True,2025-06-23,NY @ PHO,A. Wilson,rebounds,7.2,-119.84113988644566,-128.19254251258786,7.106202718706266,under,1.7800765788710409,
PAPER_PWR_20250619_003,Power,3,6.6121977608211395,6.6121977608211395,10.58,ovulatory,0.5496102852515501,69.96,True,2025-06-23,ATL @ DAL,S. Diggins,points,17.3,-108.30695001986138,-117.0117372987464,17.431928390185767,over,1.923301782403271,
PAPER_PWR_20250619_003,Power,3,6.6121977608211395,6.6121977608211395,10.58,ovulatory,0.6297979687860837,69.96,True,2025-06-23,NY @ PHO,C. Clark,assists,7.3,-107.37167161275508,-117.31799608715679,7.769730081155826,over,1.9313443527326126,
PAPER_FLX_20250619_001,Flex,2,,,50.0,ovulatory,0.6491851704878197,115.0,True,2025-06-23,DAL @ LAS,S. Stewart,assists,4.8,-122.91869017731642,-110.38238667871839,4.2980175737022694,under,1.9059416362418615,{'2': 2.3}
PAPER_FLX_20250619_001,Flex,2,,,50.0,ovulatory,0.5967829943930556,115.0,True,2025-06-23,LAS @ CHI,K. Mitchell,assists,5.5,-116.47083982916445,-118.16099280259314,5.678218720800522,over,1.8585840039161448,{'2': 2.3}
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.5545664426842016,25.0,True,2025-06-23,NY @ PHO,C. Clark,assists,5.8,-116.25949508550762,-117.30392159388958,4.348675442377265,under,1.8524864185376821,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.597099377738933,25.0,True,2025-06-23,NY @ PHO,C. Clark,rebounds,5.2,-105.71470737437024,-129.96657846619738,3.3844350645737746,under,1.769428580640897,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.5736618810426077,25.0,True,2025-06-23,NY @ PHO,A. Wilson,rebounds,7.2,-119.84113988644566,-128.19254251258786,7.106202718706266,under,1.7800765788710409,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.6060746452490694,50.0,True,2025-06-23,NY @ PHO,C. Clark,rebounds,11.2,-106.24990661813865,-129.7097950861845,10.802661045525404,under,1.7709518000052031,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.6208882311972344,50.0,True,2025-06-23,DAL @ LAS,B. Jones,rebounds,11.9,-120.3351352977153,-116.8467600090498,11.991729857285986,over,1.8310124865243629,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.5190590816261433,50.0,True,2025-06-23,ATL @ DAL,C. Clark,rebounds,6.1,-114.65875604502799,-108.94106562517788,6.9642528943905475,over,1.872153191342218,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.535710781085722,50.0,True,2025-06-23,LAS @ CHI,J. Young,points,22.1,-106.77445659123416,-113.73114778631873,23.029394491901716,over,1.936553583998382,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_004,Flex,5,,,5.0,ovulatory,0.6169154920601868,100.0,True,2025-06-23,NY @ PHO,A. Wilson,assists,3.6,-118.50064403655921,-117.23656242887326,5.1937555117817675,over,1.843877270145034,"{'3': 1.5, '4': 5.0, '5': 20.0}"
PAPER_FLX_20250619_004,Flex,5,,,5.0,ovulatory,0.5189496036795191,100.0,True,2025-06-23,DAL @ LAS,C. Clark,assists,4.5,-105.36157462019425,-127.57277682059244,4.939829764124867,over,1.9491126187177672,"{'3': 1.5, '4': 5.0, '5': 20.0}"
PAPER_FLX_20250619_004,Flex,5,,,5.0,ovulatory,0.5545664426842016,100.0,True,2025-06-23,NY @ PHO,C. Clark,assists,5.8,-116.25949508550762,-117.30392159388958,4.348675442377265,under,1.8524864185376821,"{'3': 1.5, '4': 5.0, '5': 20.0}"
PAPER_FLX_20250619_004,Flex,5,,,5.0,ovulatory,0.5530111450605426,100.0,True,2025-06-23,LAS @ CHI,K. Mitchell,rebounds,9.1,-105.70790261285575,-105.04487400705564,9.249921464021083,over,1.9460030662630745,"{'3': 1.5, '4': 5.0, '5': 20.0}"
PAPER_FLX_20250619_004,Flex,5,,,5.0,ovulatory,0.5190590816261433,100.0,True,2025-06-23,ATL @ DAL,C. Clark,rebounds,6.1,-114.65875604502799,-108.94106562517788,6.9642528943905475,over,1.872153191342218,"{'3': 1.5, '4': 5.0, '5': 20.0}"
PAPER_FLX_20250619_005,Flex,4,,,5.0,ovulatory,0.6158381152264202,50.0,True,2025-06-23,ATL @ DAL,D. Taurasi,points,26.6,-111.4523193909796,-114.55942960725937,26.234038272797456,under,1.87290937413731,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_005,Flex,4,,,5.0,ovulatory,0.5189496036795191,50.0,True,2025-06-23,DAL @ LAS,C. Clark,assists,4.5,-105.36157462019425,-127.57277682059244,4.939829764124867,over,1.9491126187177672,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_005,Flex,4,,,5.0,ovulatory,0.5642676029933945,50.0,True,2025-06-23,LAS @ CHI,K. Mitchell,rebounds,11.4,-106.23574421697253,-111.74446769311405,9.753688952319617,under,1.8948988890853362,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_005,Flex,4,,,5.0,ovulatory,0.6060746452490694,50.0,True,2025-06-23,NY @ PHO,C. Clark,rebounds,11.2,-106.24990661813865,-129.7097950861845,10.802661045525404,under,1.7709518000052031,"{'2': 0.4, '3': 2.0, '4': 10.0}"
